INFO - Client a into the chat!
ERROR - Client a out the chat!
INFO - Client a into the chat!
INFO - Client a out the chat!
INFO - Client test1 into the chat!
INFO - Client test1 out the chat!
INFO - Client 11 into the chat! 2018-10-23T18:25:36.852
INFO - Client 11 out the chat! 2018-10-23T18:25:59.406
INFO - Client 11 into the chat! 2018-10-23T18:26:45.048
INFO - Client 11 out the chat! 2018-10-23T18:26:51.942
INFO - Client 11 into the chat! 2018-10-23T18:30:45.216
INFO - Client 11 out the chat! 2018-10-23T18:33:01.684
INFO - Client 11 into the chat! 2018-10-23T18:33:33.688
INFO - Client 11 out the chat! 2018-10-23T18:33:59.947
INFO - Client 11 into the chat! 2018-10-23T18:36:35.074
INFO - Client 11 out the chat! 2018-10-23T18:37:49.315
INFO - Client 11 into the chat! 2018-10-23T18:38:54.641
INFO - Client 11 out the chat! 2018-10-23T18:40:04.186
INFO - Client 11 into the chat! 2018-10-23T18:40:12.035
INFO - Client 11 out the chat! 2018-10-23T18:41:40.800
INFO - Client 11 into the chat! 2018-10-23T18:42:10.018
INFO - Client 11 out the chat! 2018-10-23T18:42:26.382
INFO - Client 11 into the chat! 2018-10-23T18:44:38.172
INFO - Client 11 out the chat! 2018-10-23T18:45:38.323
INFO - Client 11 into the chat! 2018-10-23T18:45:46.284
INFO - Client 11 out the chat! 2018-10-23T18:46:19.319
INFO - Client 11 into the chat! 2018-10-23T18:47:46.493
INFO - Client 11 out the chat! 2018-10-23T18:47:51.399
INFO - Client 11 into the chat! 2018-10-23T18:55:38.286
INFO - Client 11 out the chat! 2018-10-23T18:55:45.685
INFO - Client 11 into the chat! 2018-10-23T19:02:05.423
INFO - Client 11 out the chat! 2018-10-23T19:02:25.463
INFO - Client 11 into the chat! 2018-10-23T19:05:55.086
INFO - Client 11 out the chat! 2018-10-23T19:06:05.524
INFO - Client 11 into the chat! 2018-10-23T19:07:44.771
INFO - Client 11 out the chat! 2018-10-23T19:07:48.756
INFO - Client 11 into the chat! 2018-10-23T19:14:46.170
INFO - Client 11 out the chat! 2018-10-23T19:14:46.792
INFO - Client 11 into the chat! 2018-10-23T19:15:05.309
INFO - Client 11 out the chat! 2018-10-23T19:15:09.634
INFO - Client 11 into the chat! 2018-10-23T19:17:08.773
INFO - Client 11 out the chat! 2018-10-23T19:17:21.637
INFO - Client 11 into the chat! 2018-10-23T19:19:10.920
INFO - Client 11 out the chat! 2018-10-23T19:19:23.472
INFO - Client 11 into the chat! 2018-10-23T19:19:35.055
INFO - Client 11 out the chat! 2018-10-23T19:19:42.824
INFO - Client 11 into the chat! 2018-10-23T19:22:46.294
INFO - Client 11 out the chat! 2018-10-23T19:22:59.981
INFO - Client 11 into the chat! 2018-10-23T19:24:09.714
INFO - Client 11 out the chat! 2018-10-23T19:25:25.795
INFO - Client 11 into the chat! 2018-10-23T19:25:45.783
INFO - Client 11 out the chat! 2018-10-23T19:25:46.305
INFO - Client 11 into the chat! 2018-10-23T19:27:22.300
INFO - Client 11 out the chat! 2018-10-23T19:27:28.159
INFO - Client 11 into the chat! 2018-10-24T13:00:16.010
INFO - Client 11 out the chat! 2018-10-24T13:00:48.587
INFO - Client 11 into the chat! 2018-10-24T13:01:05.327
